regulation_id,section_id,section_number,title,content_summary,text,section_type,paragraph_range,source_page_start,source_page_end
APS-112,APS-112-ATT-B-BANK,B.7-B.13,Bank Exposures,"Defines bank exposures and requires ADIs to apply risk weights from Tables 7 and 8 based on external credit rating and maturity. Sets out rules for unrated bank exposures, short-term exposures, issue-specific ratings, and prohibits use of ratings incorporating implicit government support assumptions.","7. An exposure to a bank counterparty includes all exposures, other than equity or subordinated debt, to an ADI or overseas bank. It includes any exposures to multilateral development banks that are not eligible to be risk-weighted at zero per cent in accordance with paragraph 3(c) of this Attachment.
8. An ADI must apply the risk weights in Table 7 to its bank exposures, based on the external credit rating of the bank.
Table 7 Risk weights for bank exposures
Credit rating
1 2 3 4, 5 6 Unrated
grade (long-term)
Risk weight (%)
(short-term 20 20 20 50 150 20
exposure)
Risk weight (%)
(long-term 20 30 50 100 150 50
exposure)
9. For the purpose of Table 7, an ADI may apply the short-term exposure risk weights to its bank exposures, where the exposure:
(a) has an original maturity of three months or less; or
(b) arises from the movement of goods across national borders, with an original maturity of six months or less.8
10. Unrated bank exposures must be risk-weighted as the higher of:
(a) 20 per cent for short-term exposures and 50 per cent for long-term exposures; and
(b) the risk weight applicable to exposures to the sovereign of the country where the bank counterparty is incorporated.
The sovereign risk-weight floor does not apply to short-term self-liquidating, trade-related contingent items that arise from the movement of goods.9
11. An ADI must apply the risk weights in Table 8 to short-term bank exposures with an issue-specific external credit rating.
Table 8 Risk weights for bank exposures (short-term issue-specific credit ratings)
Credit rating grade
1 2 3 4
(short term)
Risk weight (%) 20 50 100 150
12. If an ADI has a bank exposure with an issue-specific short-term external credit rating that maps to a credit rating grade:
(a) that requires a higher risk weight than would be assigned under Table 7 (short-term exposure), then an ADI must risk-weight the exposure in accordance with Table 8 and not Table 7;
(b) of 2 or 3 under Table 8, then all unrated short-term exposures to that counterparty must be risk-weighted at 100 per cent; and
(c) of 4 under Table 8, then all unrated exposures to that counterparty, whether they are short-term or long-term exposures, must be risk-weighted at 150 per cent.
13. When assigning risk-weights to bank exposures based on external credit ratings, an ADI must not use ratings that incorporate assumptions of implicit government support.",attachment,7-13,18,19
APS-112,APS-112-ATT-B-COVERED-BONDS,B.14-B.16,Covered Bond Exposures,"Permits ADIs to apply reduced risk weights from Table 9 to rated covered bond exposures where specified cover pool composition, overcollateralisation, and ongoing disclosure requirements are met. Cover pool assets must include only qualifying sovereign, bank, residential and commercial property exposures with specified LVR limits.","14. An ADI may apply the risk weights in Table 9 to its covered bond exposures with an issue-specific external credit rating, where the requirements set out in paragraphs 15 and 16 of this Attachment are met.
Table 9 Risk weights for rated covered bond exposures
Credit rating
1 2, 3 4, 5 6
grade
Risk weight (%) 10 20 50 100
15. An ADI may apply the risk weights in Table 9 where:
(a) the cover pool includes only the following assets:
(i) loans to, or guaranteed by, sovereigns or domestic PSEs;
(ii) loans to, or guaranteed by, banks that qualify for a risk weight of 30 per cent or lower in accordance with paragraphs 8 to 10 of this Attachment; however, such assets cannot exceed 15 per cent of the cover pool;
(iii) residential property exposures that meet the requirements in paragraphs 3 to 7 of Attachment A to this Prudential Standard for covered bonds issued in Australia, and as defined by the relevant supervisory authority for covered bonds issued in other jurisdictions, with an LVR equal to or less than 80 per cent; and
(iv) commercial property exposures that meet the requirements in paragraphs 3 to 7 of Attachment A to this Prudential Standard for covered bonds issued in Australia, and as defined by the relevant supervisory authority for covered bonds issued in other jurisdictions, with an LVR equal to or less than 60 per cent;
(b) the nominal value of the cover pool exceeds the nominal outstanding value of the covered bond by at least 10 per cent; and
(c) the conditions set out in this paragraph are satisfied at the time of issuance, and at all times throughout the remaining maturity of the covered bond.
16. An ADI must be able to demonstrate to APRA that, at a minimum, the following information is available to the ADI on at least a semi-annual basis:
(a) the value of the cover pool and outstanding covered bonds;
(b) the geographical distribution and type of cover assets, loan size, interest rate and currency risks;",attachment,14-16,20,20
APS-112,APS-112-ATT-B-S17,17,Unrated or Non-Qualifying Covered Bonds,Covered bonds that are unrated or fail to meet the requirements in paragraphs 15-16 must be treated as bank exposures and risk-weighted using Table 7.,"17. Where a covered bond is unrated or does not meet the requirements set out in paragraphs 15 and 16 of this Attachment, an ADI must treat the covered bond as a bank exposure and apply the risk weights in Table 7.",core,17,21,21
APS-112,APS-112-ATT-B-S18,18,Corporate Exposures – Definition,"Corporate exposures cover all exposures to incorporated entities and other entities not fitting another asset class, including financial institutions (excluding banks). Equity, subordinated debt, and third-party exposures are excluded from this category.","18. An exposure to a corporate counterparty includes all exposures to incorporated entities, associations, partnerships, proprietorships, trusts, funds and other entities that do not meet the definition of any other asset class. Exposures to financial institutions, excluding banks but including insurance companies or securities companies, must be treated as corporate exposures. Exposures to equity or subordinated debt, or exposures through a third party as detailed in paragraph 41 of this Attachment, must not be included as corporate exposures.",core,18,21,21
APS-112,APS-112-ATT-B-S19,19,General Corporate – Rated Exposures (Long-Term),"ADIs must apply risk weights from Table 10 to rated general corporate exposures, ranging from 20% for grade 1 to 150% for grades 5 and 6.","19. An ADI must apply the risk weights in Table 10 to its general corporate exposures with an external credit rating.

Table 10 Risk weights for general corporate exposures
Credit rating grade
1 2 3 4 5, 6
(long-term)
Risk weight (%) 20 50 75 100 150",core,19,21,21
APS-112,APS-112-ATT-B-S20,20,General Corporate – Rated Exposures (Short-Term),"ADIs must apply risk weights from Table 11 to short-term general corporate exposures with issue-specific external credit ratings, ranging from 20% for grade 1 to 150% for grade 4.","20. An ADI must apply the risk weights in Table 11 to short-term general corporate exposures with an issue-specific external credit rating.

Table 11 Risk weights for general corporate exposures (short-term issue-specific credit ratings)
Credit rating grade
1 2 3 4
(short-term)
Risk weight (%) 20 50 100 150",core,20,21,21
APS-112,APS-112-ATT-B-S21,21,General Corporate – Grade 4 Short-Term Rating Contagion,"If a general corporate exposure has a short-term issue-specific rating mapping to grade 4, all unrated exposures to that counterparty (short-term or long-term) must be risk-weighted at 150%.","21. If an ADI has a general corporate exposure with an issue-specific short-term external credit rating mapping to a credit rating grade of 4 under Table 11, then all unrated exposures to that counterparty, whether they are short-term or long-term exposures, must be risk-weighted at 150 per cent.",core,21,21,21
APS-112,APS-112-ATT-B-S22,22,General Corporate – SME Definition,"An SME exposure is one to a corporate counterparty with total consolidated annual revenue below $75 million, including group-level revenue. Where revenue cannot be determined, exposures below $5 million may be treated as SME.","22. An exposure to an SME is an exposure to a corporate counterparty with total consolidated annual revenue of less than $75 million. Where an ADI has an exposure to an SME that is part of a corporate group, it may be treated as an SME exposure provided the total consolidated annual revenue for the group is less than $75 million. Where a corporate counterparty's total consolidated annual revenue cannot be determined, and the exposure is less than $5 million, the ADI may treat the exposure as SME.",core,22,21,22
APS-112,APS-112-ATT-B-S23,23,General Corporate – Unrated SME Risk Weights,ADIs must apply risk weights from Table 12 to unrated SME exposures: 75% for SME retail and 85% for SME corporate.,"23. An ADI must apply the risk weights in Table 12 to its unrated SME exposures.

Table 12 Risk weights for unrated SME exposures
Risk weight (%)
SME retail 75
SME corporate 85",core,23,22,22
APS-112,APS-112-ATT-B-S24,24,SME Retail Classification Criteria,"To qualify as SME retail, the exposure must be a small business lending facility or commitment (excluding derivatives, securities, and residential property-secured exposures) and the maximum aggregated exposure to the SME counterparty must be less than $1.5 million.","24. To be risk-weighted as SME retail, the following criteria must be satisfied:
(a) the exposure is in the form of a small business lending facility or commitment. Derivatives and other securities such as bonds and equities, and exposures secured by residential property are excluded from this category; and
(b) the maximum aggregated exposure to the SME counterparty is less than $1.5 million. For this purpose:
(i) aggregated exposure means the gross amount, excluding the application of any credit risk mitigation. For off-balance sheet exposures, the gross amount must be calculated after applying CCFs; and
(ii) the SME counterparty means either a single SME, or where the SME forms part of a corporate group, the broader group.",core,24,22,22
APS-112,APS-112-ATT-B-S25,25,General Corporate – Other Unrated Exposures,"For unrated general corporate exposures not treated as SME, ADIs must either apply 100% risk weight to all exposures, or apply 85% to investment grade and 110% to non-investment grade corporates using an APRA-approved methodology. Investment grade corporates must have adequate capacity to meet financial commitments robustly against adverse conditions.","25. For all other unrated general corporate exposures that are not treated as SME, an ADI must either:
(a) assign a 100 per cent risk-weight to all exposures; or
(b) assign an 85 per cent risk-weight to exposures to 'investment grade' corporates and a 110 per cent risk weight to exposures to 'non-investment grade' corporates where the ADI has in place an APRA approved methodology that differentiates between 'investment grade' and 'non-investment grade' corporates.
An investment grade general corporate refers to a general corporate entity that has adequate capacity to meet its financial commitments in a timely manner and its ability to do so is assessed to be robust against adverse changes in the economic cycle and business conditions. When assessing whether a general corporate exposure is investment grade or non-investment grade, an ADI must assess the general corporate entity against the investment grade definition taking into account the complexity of its business model, performance against industry and peers, and risks posed by the entity's operating environment. An ADI must have sufficient information to conduct adequate due diligence for the assessment of whether the corporate entity is investment grade.",core,25,22,23
APS-112,APS-112-ATT-B-S26,26,Specialised Lending – Classification Criteria,"A corporate exposure must be classified as specialised lending if it meets specific characteristics including being typically to a special-purpose entity, having limited independent repayment capacity, and where the primary repayment source is asset-generated income.","26. A corporate exposure must be classified as a specialised lending exposure if it possesses the following characteristics, either in legal form or economic substance:
(a) the exposure satisfies the definition of object finance, project finance or commodities finance as set out in paragraph 27 of this Attachment, is not a property exposure and is not secured by derivatives or other securities such as bonds or equities;
(b) the exposure is typically to an entity that was created specifically to finance or operate physical assets;
(c) other than the income that it receives from the assets being financed, the borrowing entity has little or no other material assets or activities, and therefore has little or no independent capacity to repay the obligation;
(d) the terms of the obligation give the ADI a substantial degree of control over the assets and the income that it generates; and
(e) as a result of the characteristics detailed in 26(a) to 26(d) of this paragraph, the primary source of repayment of the obligation is the income generated by the assets rather than the independent capacity of a broader commercial enterprise.",core,26,23,23
APS-112,APS-112-ATT-B-S27,27,Specialised Lending – Sub-Classes,"Specialised lending includes three sub-classes: project finance (revenue from a single project), object finance (equipment acquisition repaid from specific asset cash flows), and commodities finance (short-term lending against exchange-traded commodities).","27. The specialised lending asset class includes the following three sub-classes:
(a) project finance, refers to the method of funding in which the lender looks primarily to the revenues generated by a single project, both as the source of repayment and as security for the loan;
(b) object finance, refers to the method of funding the acquisition of equipment where the repayment of the loan is dependent on the cash flows generated by the specific assets that have been financed and pledged or assigned to the lender; and
(c) commodities finance, refers to short-term lending to finance reserves, inventories, or receivables of exchange-traded commodities, where the loan will be repaid from the proceeds of the sale of the commodity and the borrower has no independent capacity to repay the loan.",core,27,23,23
APS-112,APS-112-ATT-B-S28,28,Specialised Lending – Rated Exposures,"Where an issue-specific external credit rating is available for a specialised lending exposure, the ADI must apply the risk weights in Table 10.","28. Where an issue-specific external credit rating is available for a specialised lending exposure, an ADI must apply the risk weights in Table 10.",core,28,23,23
APS-112,APS-112-ATT-B-S29,29,Specialised Lending – Unrated Exposures,ADIs must apply risk weights from Table 13 to unrated specialised lending exposures: 110% for project finance and 100% for object and commodities finance.,"29. An ADI must apply the risk weights in Table 13 to its unrated specialised lending exposures, including any exposures with an issuer-specific external credit rating.

Table 13 Risk weights for unrated specialised lending exposures
Risk weight (%)
Project finance 110
Object and commodities finance 100",core,29,23,24
APS-112,APS-112-ATT-B-S30,30,Retail Exposures – Definition,A retail exposure is any exposure to one or more natural persons that is not a property exposure or margin lending exposure.,"30. A retail exposure is any exposure to one or more individuals (that is, natural persons), that is not a property exposure or margin lending exposure.",core,30,24,24
APS-112,APS-112-ATT-B-S31,31,Retail Exposures – Risk Weights,ADIs must apply risk weights from Table 14 to retail exposures: 75% for credit card exposures and 100% for other retail exposures.,"31. An ADI must apply the risk weights in Table 14 to its retail exposures, based on the product type.

Table 14 Risk weights for retail exposures
Risk weight (%)
Credit card exposures 75
Other retail exposures 100",core,31,24,24
APS-112,APS-112-ATT-B-S32,32,Margin Lending Exposures – Risk Weights,Margin lending exposures secured by eligible financial collateral attract a 20% risk weight; those secured by other collateral attract 100%.,"32. An ADI must apply a risk weight of 20 per cent to margin lending exposures secured by eligible financial collateral. Where a margin loan is secured by other collateral, an ADI must apply a risk weight of 100 per cent to its exposure.",core,32,24,24
APS-112,APS-112-ATT-B-S33,33,Subordinated Debt – Risk Weight,Subordinated debt not required to be deducted from regulatory capital under APS 111 must be risk-weighted at 150%.,"33. Subordinated debt includes any facility that is expressly subordinated to another facility, or has the effect of conveying economic subordination to another facility. Subordinated debt that is not required to be deducted from regulatory capital under APS 111 must be risk weighted at 150 per cent.",core,33,24,24
APS-112,APS-112-ATT-B-S34-37,34-37,Equity Exposures – Definition,"Equity exposures are defined by economic substance and include direct and indirect ownership interests that are irredeemable, carry no issuer obligation, and convey a residual claim. Debt instruments, derivatives, and other instruments conveying equity economic substance must also be treated as equity exposures.","34. Equity exposures must be defined on the basis of the economic substance of the instrument. Equity exposures include both direct and indirect ownership interests, whether voting or non-voting, in the assets and income of entities, including commercial enterprises and financial institutions. An instrument is considered to be an equity exposure if it meets the following criteria:
(a) it is irredeemable, in that the return of invested funds can be achieved only by the sale of the investment, the sale of the rights to the investment or by the liquidation of the issuer;
(b) it does not embody an obligation of the issuer; and
(c) it conveys a residual claim on the assets or income of the issuer.
35. Debt obligations and other securities, units in trusts, derivatives or other instruments which are structured for the purpose, or have the effect, of conveying the economic substance of equity ownership must be treated as equity exposures. This includes options and warrants on equities and short positions in equity securities. In addition, if a debt instrument is convertible into equity at the option of an ADI, it should be treated by the ADI as equity on conversion. If such an instrument is convertible at the option of the issuer or automatically by the terms of the instrument, it should be treated by the ADI as equity from inception.
36. Equities that are recorded as a loan but arise from a debt/equity swap made as part of the orderly realisation or restructuring of the debt must be treated as an equity exposure.
37. Instruments with a return directly linked to equities must be treated as equity exposures.",core,34-37,24,25
APS-112,APS-112-ATT-B-S38,38,Equity Exposures – Risk Weights,"Equity exposures not deducted from regulatory capital must be risk-weighted at 250% if listed on a recognised exchange (or to banking/insurance subsidiaries at Level 1), and 400% if unlisted.","38. An ADI must risk-weight equity exposures that are not required to be deducted from Regulatory Capital under APS 111 at:
(a) 250 per cent if the equity exposure is listed on a recognised exchange, or where the equity exposure is to the ADI's banking or insurance subsidiary at Level 1; and
(b) 400 per cent if the equity exposure is not listed on a recognised exchange.",core,38,25,25
APS-112,APS-112-ATT-B-S39,39,Lease Exposures – Counterparty Risk Weight,"Lease exposures, including right-of-use asset leases, must be risk-weighted using the counterparty risk weight specified in Attachment B, excluding residual value risk.","39. Lease exposures include all lease and asset finance exposures, irrespective of the counterparty type, and include exposures generated by the leasing of right-of-use assets. For lease exposures, excluding residual value risk, an ADI must apply the risk weight of the counterparty, as specified in this Attachment.",core,39,25,25
APS-112,APS-112-ATT-B-S40,40,Lease Exposures – Residual Value Risk,"Where an ADI bears residual value risk (e.g. as lessor in operating leases), it must measure aggregate residual value and apply risk weights from Table 15: 100% for the portion up to 10% of Tier 1 capital and 250% for the portion exceeding 10% of Tier 1 capital.","40. Where an ADI is exposed to residual value risk, such as when it acts as the lessor in operating leases, it must measure the aggregate residual value and apply the risk weights in Table 15 to the residual value of its leased assets.

Table 15 Risk weights for residual value under lease exposures
Risk weight (%) applying to the portion of aggregate residual value ≤ 10% of Tier 1 capital: 100
Risk weight (%) applying to the portion of aggregate residual value > 10% of Tier 1 capital: 250",core,40,25,26
APS-112,APS-112-ATT-B-S41,41,Exposures Through a Third Party,"Credit exposures originated through a third party where the ADI does not conduct credit assessment, cannot administer workout/default processes, and has no direct recourse must be risk-weighted at 150%, regardless of the characterisation of the third party or borrower.","41. An ADI must apply a risk weight of 150 per cent to credit exposures originated through a third party, where the ADI:
(a) does not undertake the credit assessment and approval of the underlying borrower under its own credit risk policies and processes;
(b) is unable to administer the workout or default processes; and
(c) does not have direct recourse to the third party or underlying borrower in the event of default.
The risk weight prescribed in this paragraph must be applied to all such arrangements irrespective of the characterisation of the third party or underlying borrower.",core,41,26,26
APS-112,APS-112-ATT-B-S42,42,Other Exposures – Risk Weights,"ADIs must apply risk weights from Table 16 to all other exposures not classified elsewhere, including 0% for cash and gold bullion, 20% for cash items in collection, and 100% for fixed assets and all other exposures.","42. An ADI must apply the risk weights in Table 16 to all other exposures that are not property exposures or included within one of the other asset classes specified in this Attachment.

Table 16 Risk weights for other exposures
Risk weight (%)
Cash owned and held at the ADI or in transit 0
Gold bullion held at the ADI or held in another ADI on an allocated basis, to the extent the gold bullion assets are backed by gold bullion liabilities 0
Cash items in the process of collection (e.g. cheques, draft and other items drawn on banks that are payable immediately upon presentation and that are in the process of collection) 20
Investments in premises, plant and equipment, and all other fixed assets 100
All other exposures not specified elsewhere 100",core,42,26,27
APS-112,APS-112-ATT-B-S43,43,Currency Mismatch – Risk Weight Multiplier,"For exposures originated after 1 January 2023, ADIs must apply a 1.5x multiplier to the applicable risk weight for unhedged retail or residential property exposures to individuals where the lending currency differs from the borrower's income currency.","43. For exposures originated after 1 January 2023, an ADI must apply a 1.5 times multiplier to the applicable risk weight for any unhedged retail or residential property exposure to individuals, where the lending currency differs from the currency of the borrower's source of income.",core,43,27,27
APS-112,APS-112-ATT-B-S44,44,Currency Mismatch – Definition of Unhedged Exposure,An unhedged exposure is one where the borrower has no natural or financial hedge against foreign exchange risk from currency mismatch. An exposure may only be treated as hedged if the natural or financial hedge covers at least 90% of the loan repayment amount.,"44. An unhedged exposure is an exposure to a borrower that has no natural or financial hedge against the foreign exchange risk resulting from the currency mismatch between the currency of the borrower's income and the currency of the loan. A natural hedge exists where the borrower receives foreign currency income that matches the currency of a given loan. A financial hedge generally includes a legal contract with a financial institution. For the purpose of the application of the multiplier, an ADI may only treat an exposure as hedged where the natural or financial hedge covers at least 90 per cent of the loan repayment amount.",core,44,27,27
APS-112,APS-112-ATT-C,C,Attachment C – Off-Balance Sheet Commitments,"This attachment defines commitments, sets out conditions under which arrangements may be excluded from the commitment definition, and prescribes credit conversion factors (CCFs) from Table 17 that must be applied to committed but undrawn amounts before risk-weighting.","Attachment C – Off-balance sheet commitments
1. A commitment is any arrangement that has been offered by the ADI and accepted by the borrower to extend credit, purchase assets or issue credit substitutes. It includes SFTs.
2. A commitment includes any arrangement that can be unconditionally cancelled by the ADI at any time without prior notice to the borrower. It also includes any such arrangement that can be cancelled by the ADI if conditions set out in the facility documentation are not met, including conditions that must be met by the borrower or third parties (conditions precedent) prior to any initial or subsequent drawdown under the arrangement.
3. Where an ADI enters into an arrangement that meets all of the following conditions, it may be excluded from the definition of commitment:
(a) the ADI receives no fees or commissions to establish or maintain the arrangement;
(b) the borrower is required to apply to the ADI for the initial and each subsequent drawdown;
(c) the ADI has full authority, regardless of the fulfilment by the borrower of the conditions set out in the facility documentation, over the execution of each drawdown;
(d) the ADI's decision on the execution of each drawdown is made only after assessing the creditworthiness of the borrower immediately prior to drawdown. This assessment of creditworthiness must be undertaken by an independent party and, at a minimum, include confirmation of the borrower's good credit standing and that no material adverse information has arisen subsequent to the limit approval or the most recent credit review that would affect the borrower's creditworthiness; and
(e) the borrower is a corporate counterparty that is closely monitored on an ongoing basis, and is not an SME retail borrower.
4. In respect of margin lending, the committed amount is the maximum amount that the borrower can draw down based on the terms of the loan (such as the notional credit limit and the maximum allowable LVR) and the value of the security underlying the loan. However, if an ADI does not adjust the credit limit before a drawdown in response to a decline in security value, then the ADI must use the original amount in the loan contract that is independent of the security value.
5. Where a commitment exists, an ADI must multiply the committed but undrawn amount of the exposure by the relevant CCF in Table 17, and then risk-weight the exposure according to the relevant requirements set out in Attachments A, B and D to this Prudential Standard.

Table 17 CCFs
Transaction type CCF (%)
Direct credit substitutes 100
Sale and repurchase agreements and asset sales with recourse 100
Lending of securities or posting of securities as collateral 100
Forward asset purchases, forward deposits and partly paid shares and securities 100
Other off-balance sheet items that are credit substitutes 100
Unsettled securities, commodities and foreign exchange transactions accounted for at settlement date 100
Other commitments with certain drawdown 100
Note issuance and revolving underwriting facilities 50
Performance-related contingencies 50
Other commitments 40
Short-term self-liquidating trade letters of credit arising from the movement of goods 20
Intraday limits 0
Irrevocable standby commitments under industry support arrangements 0

6. Where an ADI has given a commitment to provide an off-balance sheet exposure, it may apply the lower of the CCFs applicable to the commitment and the off-balance sheet exposure.",attachment,1-6,28,29
APS-112,APS-112-ATT-D,D,Attachment D – Unsettled and Failed Transactions,"This attachment prescribes capital treatment for DvP and non-DvP transactions that remain unsettled after their due dates, including escalating risk weights for DvP transactions (100% to 1250%) and specific capital calculation rules for non-DvP transactions.","Attachment D – Unsettled and failed transactions
1. Delivery-versus-payment (DvP) transactions include any transaction settled through a system which provides for the simultaneous exchange of securities or commodities for cash, and expose an ADI to the risk of loss on the difference between the transaction valued at the agreed settlement price and the transaction valued at the current market price. This includes payment-versus-payment transactions.
2. An ADI must apply the risk weights in Table 18 to all DvP transactions, excluding SFTs, which remain unsettled after their due delivery dates. The amount that must be multiplied by the relevant risk weight is the positive current exposure amount of the DvP transaction, i.e. the difference between the agreed settlement price of the transaction and the current market price of the transaction where this would result in a loss to the ADI.

Table 18 Risk weights for DvP transactions
Number of business days after settlement date Risk weight (%)
5 to 15 100
16 to 30 625
31 to 45 937.5
46 or more 1250

3. An ADI must hold Regulatory Capital against a non-DvP transaction which exposes the ADI to the risk of loss on the full amount of cash paid or deliverables delivered, where:
(a) it has paid for debt instruments, equities, foreign currencies or commodities before receiving them or it has delivered debt instruments, equities, foreign currencies or commodities before receiving payment for them; and
(b) in the case of a cross-border transaction, one day or more has elapsed since it made that payment or delivery.
4. An ADI must calculate the capital requirement for a non-DvP transaction as follows:
(a) from the business day after the ADI has made its payment or delivery for up to and including four business days after the counterparty payment or delivery is due, the ADI must treat the transaction as an exposure; and
(b) from five business days after the ADI has made its payment or delivery until extinction of the transaction, the ADI must apply a 1250 per cent risk weight to the value transferred plus the positive current exposure amount.
5. Where a non-DvP transaction must be treated as an exposure in accordance with paragraph 4(a) of this Attachment, an ADI may:",attachment,1-5,30,30
APS-112,APS-112-ATT-D-CONT,D (continued),Attachment D – Equity Exposures (continued),"Continuation of Attachment D covering risk weight options for equity exposures, including applying counterparty-based risk weights from Attachment B or a 100 per cent risk weight for non-material exposures applied consistently.","(a) apply the relevant risk weight based on the counterparty as detailed in
Attachment B to this Prudential Standard; or
(b) where exposures are not material, apply a 100 per cent risk weight provided
that all such exposures are risk-weighted consistently.",attachment,whole,31,31
APS-112,APS-112-ATT-E,E,Attachment E – Defaulted exposures,"This attachment sets out the risk weights ADIs must apply to defaulted exposures, distinguishing between residential property exposures (Table 19) and other defaulted exposures (Table 20). Risk weights vary based on loan type, LMI status, and level of provisions relative to outstanding exposure. Credit risk mitigation may be recognised in calculating the exposure amount.","Attachment E – Defaulted exposures
1. Where an exposure is in default, an ADI must apply the risk weights in Table 19
or Table 20 to the exposure amount, net of any provisions for defaulted exposures
and partial write-offs.
2. An ADI may recognise eligible credit risk mitigation in calculating the exposure
amount.
Risk weights for residential property exposures
3. An ADI must apply the risk weights in Table 19 to its defaulted residential
property exposures.
Table 19 Risk weights for defaulted residential property exposures
Risk weight (%)
Owner-occupied principal-and-interest with LMI 80
Owner-occupied principal-and-interest without LMI 100
Other standard residential property with LMI 95
Other standard residential property without LMI 120
Non-standard loans 150
Risk weights for other defaulted exposures
4. An ADI must apply the risk weights in Table 20 to its defaulted exposures that
are not residential property exposures.
Table 20 Risk weights for other defaulted exposures
Risk weight (%)
Provisions for the defaulted exposure are ≥ 20 per cent of the
100
outstanding exposure amount
Provisions for the defaulted exposure are < 20 per cent of the
150
outstanding exposure amount",attachment,1-4,32,32
APS-112,APS-112-ATT-F,F,Attachment F – External credit ratings,"This attachment governs how ADIs may use external credit ratings from ECAIs for risk-weighting purposes, including requirements for solicited ratings, due diligence, consistent application, and handling of multiple or conflicting ratings. It also provides mapping tables (Tables 21 and 22) for long-term and short-term ratings from S&P, Moody's, and Fitch to credit rating grades.","Attachment F – External credit ratings
1. An ADI may only use the solicited ratings of ECAIs to determine the credit rating
grades that correspond to the risk weights for counterparties and exposures.19
Ratings must be used consistently for each type of exposure.
2. An ADI must only use an ECAI rating that takes into account and reflects the
entire amount of credit risk exposure that the ADI has with regard to all amounts
owed to it.
3. Where an ADI uses the ratings of ECAIs, it must perform due diligence to ensure
that the external ratings appropriately and conservatively reflect the
creditworthiness of the counterparty. If the due diligence analysis reflects higher
risk characteristics than that implied by the exposure's external rating, an ADI
must assign a risk weight at least one bucket higher than that determined by the
external rating. Due diligence analysis must not result in the application of a lower
risk weight than that determined by the external rating.
4. An ADI must not use credit ratings for one entity within a corporate group to
determine the risk weight for other entities within the same group. If a rated entity
has guaranteed another entity's exposure to the ADI, the guarantee may be
recognised for risk-weighting purposes if the criteria set out in Attachment I to
this Prudential Standard are satisfied.
Issue-specific and issuer ratings
5. Where an ADI has an exposure with an issue-specific rating, the risk weight of
the exposure must be assigned based on this rating. Where an exposure does not
have an issue-specific rating, the ADI must apply the following requirements:
(a) where the counterparty has a specific rating for an issued debt, but the
ADI's exposure is not an investment in that particular debt, a credit rating
which maps to a risk weight lower than that which applies to an unrated
exposure may only be applied if the exposure ranks senior or pari passu in
all respects to the rated debt issue. If the exposure does not rank senior or
pari passu with the rated debt issue, then the ADI must treat the exposure
as unrated and apply the corresponding risk weight;
(b) where the counterparty has an issuer rating, only senior exposures to that
counterparty may be assigned a risk weight that corresponds to the issuer
rating. If either the issuer or a single issue has a rating grade that maps to a
risk weight higher than that applied to unrated exposures, then an exposure
to that counterparty which ranks pari passu or is subordinated to either the
senior unsecured issuer rating or the exposure with a low credit rating grade
must be assigned the same risk weight as is applicable to the low credit
rating grade; and
(c) where the counterparty has a specific high-quality rating that only applies
to a limited class of liabilities, this rating may only be used for exposures
that fall within that class.
Multiple assessments
6. Where a counterparty has multiple ECAI general issuer ratings, or where an issue
has multiple ECAI issue-specific ratings and these ratings correspond to multiple
credit rating grades, an ADI must apply the following requirements:
(a) where there are two ratings that correspond to different credit rating grades,
the credit rating grade that corresponds to the higher risk weight must be
used; or
(b) where there are three or more ratings that correspond to different credit
rating grades, the credit rating grades corresponding to the two lowest risk
weights must be referred to and the higher of those two risk weights must
be used.
Domestic and foreign currency exposures
7. An ADI must not use an ECAI rating that refers to an exposure denominated in a
particular currency to derive the credit rating grade for another exposure to the
same counterparty if that exposure is denominated in another currency.
Mapping of credit rating grades
8. Where the ECAI is S&P Global Ratings, Moody's or Fitch Ratings, ratings must
be mapped in accordance with Table 21 and Table 22.
Table 21 Recognised long-term ratings and equivalent credit rating grades
Credit rating S&P Global Moody's Fitch Ratings
grade Ratings
1 AAA Aaa AAA
AA+ Aa1 AA+
AA Aa2 AA
AA- Aa3 AA-
2 A+ A1 A+
A A2 A
A- A3 A-
3 BBB+ Baa1 BBB+
BBB Baa2 BBB
BBB- Baa3 BBB-
4 BB+ Ba1 BB+
BB Ba2 BB
BB- Ba3 BB-
5 B+ B1 B+
B B2 B
B- B3 B-
6 CCC+ Caa1 CCC+
CCC Caa2 CCC
CCC- Caa3 CCC-
CC Ca CC
C C C
D D
Table 22 Recognised short-term ratings and equivalent credit rating grades
Credit rating S&P Global Moody's Fitch Ratings
grade Ratings
1 A-1 P-1 F-1
2 A-2 P-2 F-2
3 A-3 P-3 F-3
4 Others Others Others",attachment,1-8,33,35
